ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,demand
2021-03-01 00:00:00,75.22402443529127,20.296969286164284,111.47098087054808,75.22402443529127,75.22402443529127,-9.771206881079118,-9.771206881079118,-9.771206881079118,-14.169970366168483,-14.169970366168483,-14.169970366168483,0.572683209705247,0.572683209705247,0.572683209705247,3.8260802753841214,3.8260802753841214,3.8260802753841214,0.0,0.0,0.0,65.45281755421215,2021-03-01 00:00:00
2021-03-01 01:00:00,75.22410981821272,14.861872495779515,109.45999399252683,75.22410981821272,75.22410981821272,-13.203474368909522,-13.203474368909522,-13.203474368909522,-17.027417921238463,-17.027417921238463,-17.027417921238463,-0.020581950775306977,-0.020581950775306977,-0.020581950775306977,3.8445255031042493,3.8445255031042493,3.8445255031042493,0.0,0.0,0.0,62.0206354493032,2021-03-01 01:00:00
2021-03-01 02:00:00,75.2241952011342,11.061393520619236,106.8673365922001,75.2241952011342,75.2241952011342,-17.0751152721107,-17.0751152721107,-17.0751152721107,-20.344211231142655,-20.344211231142655,-20.344211231142655,-0.5937088553420695,-0.5937088553420695,-0.5937088553420695,3.862804814374023,3.862804814374023,3.862804814374023,0.0,0.0,0.0,58.14907992902349,2021-03-01 02:00:00
2021-03-01 03:00:00,75.22428058405566,7.718553339566327,101.44044924975024,75.22428058405566,75.22428058405566,-20.138088718010188,-20.138088718010188,-20.138088718010188,-22.874166783022464,-22.874166783022464,-22.874166783022464,-1.1448393638029708,-1.1448393638029708,-1.1448393638029708,3.880917428815244,3.880917428815244,3.880917428815244,0.0,0.0,0.0,55.086191866045475,2021-03-01 03:00:00
2021-03-01 05:00:00,75.2244513498986,9.1577128086484,103.05075234486772,75.2244513498986,75.2244513498986,-19.587348764257726,-19.587348764257726,-19.587348764257726,-21.329211172725874,-21.329211172725874,-21.329211172725874,-2.1747770778484075,-2.1747770778484075,-2.1747770778484075,3.9166394863165555,3.9166394863165555,3.9166394863165555,0.0,0.0,0.0,55.637102585640875,2021-03-01 05:00:00
2021-03-01 06:00:00,75.22453673282007,13.299146039154115,105.06589478823742,75.22453673282007,75.22453673282007,-16.179967235944645,-16.179967235944645,-16.179967235944645,-17.46322892536153,-17.46322892536153,-17.46322892536153,-2.650985719913794,-2.650985719913794,-2.650985719913794,3.934247409330681,3.934247409330681,3.934247409330681,0.0,0.0,0.0,59.044569496875425,2021-03-01 06:00:00
2021-03-01 07:00:00,75.22462211574152,17.828770506756918,111.96543879841481,75.22462211574152,75.22462211574152,-11.72367609697076,-11.72367609697076,-11.72367609697076,-12.575353294478703,-12.575353294478703,-12.575353294478703,-3.100008397965502,-3.100008397965502,-3.100008397965502,3.9516855954734478,3.9516855954734478,3.9516855954734478,0.0,0.0,0.0,63.50094601877076,2021-03-01 07:00:00
2021-03-01 08:00:00,75.224707498663,23.734363963322025,113.03375147439507,75.224707498663,75.224707498663,-6.641994816451757,-6.641994816451757,-6.641994816451757,-7.089820755598847,-7.089820755598847,-7.089820755598847,-3.5211273661146176,-3.5211273661146176,-3.5211273661146176,3.968953305261706,3.968953305261706,3.968953305261706,0.0,0.0,0.0,68.58271268221124,2021-03-01 08:00:00
2021-03-01 09:00:00,75.22479288158446,25.99040801026858,120.60611360208055,75.22479288158446,75.22479288158446,-0.9387607142357224,-0.9387607142357224,-0.9387607142357224,-1.010954113410756,-1.010954113410756,-1.010954113410756,-3.9138564082973812,-3.9138564082973812,-3.9138564082973812,3.9860498074724147,3.9860498074724147,3.9860498074724147,0.0,0.0,0.0,74.28603216734874,2021-03-01 09:00:00
2021-03-01 10:00:00,75.22487826450593,34.69282688917534,124.88319630595352,75.22487826450593,75.22487826450593,5.263251606259504,5.263251606259504,5.263251606259504,5.538214058955528,5.538214058955528,5.538214058955528,-4.277936831865053,-4.277936831865053,-4.277936831865053,4.002974379169031,4.002974379169031,4.002974379169031,0.0,0.0,0.0,80.48812987076543,2021-03-01 10:00:00
